 ###############
  -2.69880376380900       0.000000000000000E+000   2.69880376380900
  0.000000000000000E+000   2.69880376380900        2.69880376380900
  -2.69880376380900        2.69880376380900       0.000000000000000E+000
           8
          93
    4    6    2    2    2    1    2    2    1    1    2    6    2    2    2
    6    2    2    4    1    1    1    4    1    1    1    1    2    1    1
    1    2    2    1    1    2    4    2    1    2    1    1    1    1    2
    1    1    1    2    1    1    1    1    2    1    2    4    2    1    1
    2    2    1    1    1    2    1    1    1    1    4    1    1    1    4
    2    2    6    2    2    2    6    2    1    1    2    2    1    2    2
    2    6    4

   -3    1    1
    5    5    0.78000997E-03 -0.13379417E-08
    6    5    0.15342719E-01  0.13121705E-07
    7    5   -0.26988824E-02  0.89502383E-08
    8    5    0.22196275E-02  0.82380600E-08
    1    6   -0.33899337E-02  0.37750917E-07
    2    6    0.57199728E-02 -0.33720213E-07
    3    6    0.67280702E-02 -0.59543910E-07
    4    6   -0.33899359E-02  0.37344516E-07
    5    6    0.15342719E-01 -0.18123570E-07
    6    6    0.78001548E-03 -0.54202168E-09
    7    6    0.26988795E-02 -0.13475607E-07
    8    6   -0.22196249E-02 -0.75837229E-08
    1    7    0.67280719E-02 -0.53070987E-07
    2    7    0.67280730E-02 -0.18785479E-07
    3    7   -0.37763331E-02  0.22322104E-07
    4    7    0.67280712E-02 -0.45718784E-07
    5    7   -0.22196260E-02 -0.52419157E-08
    6    7    0.22196280E-02  0.62841997E-08
    7    7   -0.20391537E-01  0.15873729E-08
    8    7   -0.25997980E-01 -0.16748392E-06
    1    8   -0.57199711E-02  0.83060397E-07
    2    8    0.33899373E-02 -0.28183347E-07
    3    8   -0.67280745E-02  0.80445228E-07
    4    8    0.33899343E-02 -0.46235847E-07
    5    8    0.26988839E-02 -0.12306443E-07
    6    8   -0.26988803E-02  0.62569704E-08
    7    8   -0.27948633E-02  0.14964123E-07
    8    8   -0.20391536E-01 -0.12725773E-08

   -2   -1    2
    1    1   -0.20391537E-01  0.64902492E-09
    2    1    0.25997983E-01  0.14281173E-06
    3    1    0.22196257E-02  0.28882417E-08
    4    1    0.22196281E-02  0.27033011E-08
    5    1    0.21166062E-01  0.22047183E-06
    6    1    0.11617000E-01  0.13841912E-06
    7    1   -0.21166066E-01 -0.17038786E-06
    8    1   -0.10228702E-01 -0.14633278E-06
    1    2    0.27948658E-02 -0.13982909E-07
    2    2   -0.20391537E-01 -0.34516350E-08
    3    2    0.26988813E-02 -0.10720847E-07
    4    2    0.26988823E-02 -0.11686951E-07
    5    2   -0.23201685E-01 -0.11814835E-06
    6    2   -0.40015839E-01 -0.24180210E-06
    7    2    0.23201683E-01  0.57245357E-07
    8    2   -0.11617000E-01 -0.10072074E-06
    1    3    0.26988816E-02 -0.96430618E-08
    2    3    0.22196247E-02  0.71880597E-08
    3    3    0.78001407E-03  0.30323505E-08
    4    3   -0.15342721E-01  0.27532457E-07
    5    3    0.13565625E-01  0.10911427E-06
    6    3    0.23201682E-01  0.20414631E-06
    7    3    0.14103546E-01  0.75456916E-07
    8    3    0.21166065E-01  0.24705054E-06
    1    4    0.26988829E-02 -0.29513701E-08
    2    4    0.22196270E-02  0.14130043E-07
